HET2-2-ND,D16,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,D2,N/A,N/A,0.12,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,D19,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,vWA,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,TPOX,N/A,N/A,0.07,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,D18,N/A,N/A,0.11,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,D5,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-2-ND,FGA,N/A,N/A,0.1,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D8,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D21,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D7,N/A,N/A,0.03,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,CSF,N/A,N/A,0.1,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D3,N/A,N/A,0.04,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,TH01,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D13,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D16,N/A,N/A,0.15,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D2,N/A,N/A,0.2,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D19,N/A,N/A,0.03,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,vWA,N/A,N/A,0.03,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,TPOX,N/A,N/A,0.1,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D18,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,D5,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-2-ND,FGA,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET1-1-ND,D19,0.48,0.26,0.05,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D3,0.47,0.05,0.05,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D8,0.36,0.25,0.1,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D5,0.41,0.21,0.05,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,vWA,0.38,0.31,0.1,0.05,0.06,0.05,0.05,0.05
HET1-1-ND,TH01,0.36,0.31,0.23,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D21,0.33,0.33,0.2,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D13,0.34,0.25,0.1,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,TPOX,0.41,0.41,0.34,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D7,0.34,0.34,0.17,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D16,0.5,0.5,0.15,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,FGA,0.43,0.26,0.14,0.05,0.05,0.05,0.05,0.05
HET1-1-ND,D18,0.23,0.23,0.23,0.08,0.05,0.05,0.05,0.05
HET1-1-ND,CSF,0.14,0.1,0.1,0.1,0.05,0.05,0.05,0.05
HET1-1-ND,D2,0.21,0.21,0.21,0.21,0.05,0.05,0.05,0.05
HET2-1-ND,D19,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D3,0.21,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D8,0.13,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D5,0.15,0.04,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,vWA,0.16,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,TH01,0.28,0.1,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D21,0.25,0.04,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D13,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,TPOX,0.34,0.13,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D7,0.28,0.06,0.06,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D16,0.28,0.1,0.04,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,FGA,0.31,0.1,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,D18,0.4,0.25,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-ND,CSF,0.4,0.27,0.14,0.06,0.02,0.02,0.02,0.02
HET2-1-ND,D2,0.4,0.36,0.16,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D19,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D3,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D8,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,vWA,0.12,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,TH01,0.17,0.17,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D21,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D13,0.33,0.21,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,TPOX,0.21,0.21,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D7,0.27,0.27,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,D16,0.15,0.09,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,FGA,0.46,0.02,0.02,0.02,0.02,0.02,0.02,0.02
